volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.38,1.0986122886681098,-2.513306124309698,4.77912349311153,0.997,3.2,0.56,2.2407096892759584,0
0.51,1.0296194171811581,-2.2072749131897207,4.290459441148391,0.9955,3.17,0.63,2.322387720290225,1
0.62,1.33500106673234,-2.4769384801388235,3.8066624897703196,0.9978,3.34,0.53,2.2512917986064953,0
0.42,1.2237754316221157,-2.659260036932778,2.302585092994046,0.9971,3.04,0.63,2.2617630984737906,0
0.63,1.62924053973028,-2.198225077669803,4.700480365792417,0.9983,3.26,0.77,2.2407096892759584,0
0.59,0.8329091229351039,-2.577021938695806,3.9889840465642745,0.9975,3.43,0.59,2.302585092994046,0
0.39,0.8754687373538999,-2.6036901857779675,3.828641396489095,0.9962,3.41,0.54,2.2407096892759584,1
0.4,0.7884573603642703,-2.5383074265151158,3.9512437185814275,0.998,3.44,0.64,2.2192034840549946,0
0.69,0.5877866649021191,-2.162823150618887,4.718498871295094,0.9968,3.21,0.71,2.2300144001592104,0
0.52,0.6418538861723947,-2.4651040224918206,3.5553480614894135,0.9968,3.38,0.62,2.2512917986064953,1
0.735,0.6931471805599453,-2.513306124309698,3.9889840465642745,0.9966,3.39,0.57,2.2823823856765264,0
0.725,1.536867219599265,-2.4534079827286295,2.3978952727983707,0.9962,3.41,0.39,2.388762789235098,0
0.725,1.536867219599265,-2.4534079827286295,2.3978952727983707,0.9962,3.41,0.39,2.388762789235098,0
0.52,0.4054651081081644,-2.5383074265151158,3.6635616461296463,0.9968,3.42,0.58,2.2617630984737906,0
0.705,0.47000362924573563,-2.577021938695806,2.70805020110221,0.9962,3.44,0.58,2.3702437414678603,0
0.32,0.6931471805599453,-2.6036901857779675,4.174387269895637,0.9969,3.28,0.79,2.3702437414678603,0
0.705,0.6418538861723947,-2.6036901857779675,2.9444389791664403,0.9962,3.34,0.95,2.3513752571634776,1
0.63,0.6418538861723947,-2.577021938695806,3.295836866004329,0.9967,3.32,0.54,2.2512917986064953,1
0.67,0.7419373447293773,-2.430418464503931,4.564348191467836,0.9962,3.32,0.48,2.2512917986064953,0
0.69,0.6418538861723947,-2.4769384801388235,4.543294782270004,0.9961,3.31,0.48,2.2512917986064953,0
0.675,0.7419373447293773,-2.4769384801388235,3.7612001156935624,0.9976,3.31,0.53,2.2192034840549946,0
0.32,0.9162907318741551,-2.364460496712133,4.418840607796598,0.9984,3.28,0.82,2.2617630984737906,0
0.41,0.7884573603642703,-2.375155785828881,3.7376696182833684,0.9986,3.54,0.66,2.3513752571634776,0
0.41,0.7884573603642703,-2.375155785828881,3.7376696182833684,0.9986,3.54,0.66,2.3513752571634776,0
0.785,0.8754687373538999,-2.2633643798407643,3.4011973816621555,0.9966,3.52,0.55,2.3702437414678603,1
0.75,0.6931471805599453,-2.4534079827286295,4.382026634673881,0.9958,3.38,0.52,2.312535423847214,0
0.625,0.4054651081081644,-2.5257286443082556,4.77912349311153,0.9972,3.16,1.12,2.2082744135228043,0
0.45,0.47000362924573563,-2.6736487743848776,2.70805020110221,0.9958,3.41,0.56,2.2192034840549946,0
0.5,0.6931471805599453,-2.4534079827286295,4.290459441148391,0.997,3.36,0.57,2.2082744135228043,0
0.3,0.5877866649021191,-2.6736487743848776,4.110873864173311,0.9959,3.44,0.78,2.33214389523559,1
0.55,0.7884573603642703,-2.577021938695806,3.6888794541139363,0.9961,3.41,0.59,2.312535423847214,0
0.49,0.6418538861723947,-2.7806208939370456,3.4339872044851463,0.9966,3.39,0.64,2.2617630984737906,0
0.62,0.5877866649021191,-2.577021938695806,3.1780538303479458,0.9978,3.48,0.53,2.1972245773362196,0
0.52,0.6418538861723947,-2.5383074265151158,4.941642422609304,0.9964,3.23,0.54,2.2512917986064953,0
0.49,0.6418538861723947,-2.7806208939370456,3.4339872044851463,0.9966,3.39,0.64,2.2617630984737906,0
1.02,0.3364722366212129,-3.101092789211817,4.442651256490317,0.9938,3.75,0.48,2.3513752571634776,0
0.775,1.0986122886681098,-2.282782465697866,3.1354942159291497,0.9965,3.45,0.56,2.3702437414678603,0
0.5,0.6931471805599453,-2.659260036932778,3.091042453358316,0.9963,3.25,0.63,2.2192034840549946,0
0.9,0.9162907318741551,-2.5383074265151158,2.302585092994046,0.9967,3.39,0.56,2.2823823856765264,0
0.545,0.6418538861723947,-2.5257286443082556,3.5553480614894135,0.9972,3.3,0.59,2.1972245773362196,1
0.61,0.7419373447293773,-2.4769384801388235,3.912023005428146,0.9972,3.4,0.61,2.322387720290225,1
0.5,0.6418538861723947,-2.5902671654458267,3.091042453358316,0.9959,3.31,0.56,2.341805806147327,1
0.545,0.6418538861723947,-2.5257286443082556,3.5553480614894135,0.9972,3.3,0.59,2.1972245773362196,1
0.575,0.7419373447293773,-2.563949857128453,4.174387269895637,0.9967,3.29,0.51,2.2192034840549946,0
0.49,0.7884573603642703,-2.659260036932778,3.58351893845611,0.996,3.33,0.48,2.2407096892759584,0
0.575,0.7419373447293773,-2.563949857128453,4.174387269895637,0.9967,3.29,0.51,2.2192034840549946,0
0.63,0.5306282510621704,-2.430418464503931,4.1588830833596715,0.9969,3.46,0.79,2.2300144001592104,0
0.33,0.9162907318741551,-2.396895772465287,4.382026634673881,0.9976,3.37,0.8,2.2617630984737906,1
0.56,0.5877866649021191,-2.2633643798407643,3.8501476017100584,0.9964,3.19,0.93,2.2512917986064953,0
0.62,0.7884573603642703,-2.4769384801388235,4.68213122712422,0.9964,3.15,0.66,2.2823823856765264,0
0.6,0.7884573603642703,-2.4651040224918206,4.709530201312334,0.9964,3.15,0.66,2.2823823856765264,0
0.31,0.8329091229351039,-2.5257286443082556,3.828641396489095,0.9988,3.32,0.67,2.272125885509337,1
0.56,0.5877866649021191,-2.2633643798407643,3.8501476017100584,0.9964,3.19,0.93,2.2512917986064953,0
0.4,0.7884573603642703,-2.4079456086518722,4.127134385045092,0.9966,3.07,0.63,2.3513752571634776,1
0.54,0.6418538861723947,-2.563949857128453,3.6888794541139363,0.9978,3.39,0.61,2.302585092994046,1
0.56,0.6931471805599453,-2.5010360317178852,3.332204510175204,0.997,3.37,0.5,2.2407096892759584,1
0.55,0.7884573603642703,-2.1286317858706076,4.02535169073515,0.9962,3.21,0.6,2.388762789235098,1
0.69,0.5877866649021191,-2.333044300478754,4.48863636973214,0.9959,3.34,0.54,2.2192034840549946,1
0.55,0.7884573603642703,-2.1286317858706076,4.02535169073515,0.9962,3.21,0.6,2.388762789235098,1
0.695,0.9162907318741551,-2.5902671654458267,2.5649493574615367,0.998,3.49,0.52,2.2192034840549946,0
0.71,0.9555114450274363,-2.5257286443082556,3.5263605246161616,0.9976,3.44,0.53,2.2512917986064953,0
0.5,0.47000362924573563,-2.5010360317178852,4.624972813284271,0.996,3.39,0.48,2.2512917986064953,0
0.62,0.6418538861723947,-1.9241486572738007,4.499809670330265,0.9984,3.16,0.7,2.2407096892759584,0
0.59,0.5877866649021191,-2.7333680090865,2.772588722239781,0.9962,3.42,0.92,2.3513752571634776,1
0.38,0.5877866649021191,-2.631089159966082,2.9444389791664403,0.9955,3.42,0.57,2.2407096892759584,0
0.745,0.6931471805599453,-2.137070654516472,4.897839799950911,0.9968,3.24,0.66,2.2407096892759584,0
0.5,0.8329091229351039,-3.0159349808715104,4.59511985013459,0.9937,3.63,0.63,2.5649493574615367,0
0.5,0.8329091229351039,-3.0159349808715104,4.59511985013459,0.9937,3.63,0.63,2.5649493574615367,0
0.5,0.4054651081081644,-2.8134107167600364,3.258096538021482,0.9952,3.4,0.58,2.2823823856765264,1
1.04,0.7884573603642703,-2.4769384801388235,3.367295829986474,0.9959,3.22,0.55,2.2925347571405443,1
0.745,0.6418538861723947,-2.4079456086518722,4.143134726391533,0.9965,3.19,0.82,2.2617630984737906,0
0.715,0.5877866649021191,-2.419118909249997,3.9512437185814275,0.9968,3.23,0.77,2.2512917986064953,0
0.415,0.6931471805599453,-2.513306124309698,3.8066624897703196,0.9972,3.48,0.64,2.2192034840549946,0
0.56,0.7419373447293773,-2.513306124309698,4.653960350157523,0.9962,3.33,0.54,2.2512917986064953,0
0.56,0.6931471805599453,-2.513306124309698,4.68213122712422,0.9962,3.32,0.54,2.2512917986064953,0
0.745,0.6418538861723947,-2.4079456086518722,4.143134726391533,0.9965,3.19,0.82,2.2617630984737906,0
0.715,0.5877866649021191,-2.419118909249997,3.9512437185814275,0.9968,3.23,0.77,2.2512917986064953,0
0.39,0.5306282510621704,-2.7181005369557116,2.995732273553991,0.9954,3.34,0.58,2.2407096892759584,0
0.67,0.5877866649021191,-2.145581344184381,4.948759890378168,0.9968,3.17,0.62,2.2407096892759584,0
0.68,0.5877866649021191,-2.4418471603275536,4.543294782270004,0.9944,3.54,0.52,2.302585092994046,0
0.49,0.8329091229351039,-2.6036901857779675,3.4011973816621555,0.9959,3.42,0.58,2.322387720290225,1
0.4,1.0296194171811581,-2.419118909249997,3.7612001156935624,0.9975,3.53,0.61,2.3513752571634776,1
0.33,0.7419373447293773,-2.563949857128453,2.3978952727983707,0.9958,3.33,0.53,2.33214389523559,1
0.6,0.5877866649021191,-2.353878387381596,4.59511985013459,0.995,3.35,0.54,2.312535423847214,0
0.6,0.5877866649021191,-2.353878387381596,4.59511985013459,0.995,3.35,0.54,2.312535423847214,0
0.43,1.7047480922384253,-2.659260036932778,4.859812404361672,0.9973,3.42,0.72,2.3513752571634776,0
0.43,1.7047480922384253,-2.645075401940822,4.852030263919617,0.9973,3.42,0.71,2.3513752571634776,0
0.43,1.7047480922384253,-2.659260036932778,4.859812404361672,0.9973,3.42,0.72,2.3513752571634776,0
0.43,1.7047480922384253,-2.645075401940822,4.852030263919617,0.9973,3.42,0.71,2.3513752571634776,0
0.68,0.7884573603642703,-2.617295837833746,3.091042453358316,0.9969,3.48,0.5,2.2300144001592104,0
0.6,0.6418538861723947,-2.5383074265151158,4.454347296253507,0.9968,3.59,0.57,2.2300144001592104,1
0.95,0.6931471805599453,-2.4079456086518722,2.995732273553991,0.9959,3.2,0.56,2.2617630984737906,0
0.68,0.26236426446749106,-2.631089159966082,2.995732273553991,0.9965,3.17,1.08,2.2192034840549946,0
0.53,0.5306282510621704,-2.577021938695806,3.4339872044851463,0.9964,3.33,0.56,2.302585092994046,1
0.63,0.5306282510621704,-2.3025850929940455,4.564348191467836,0.9961,3.19,0.62,2.2512917986064953,0
0.64,0.7419373447293773,-2.4651040224918206,4.61512051684126,0.9956,3.34,0.52,2.322387720290225,0
0.55,0.47000362924573563,-2.631089159966082,3.7376696182833684,0.9956,3.37,0.48,2.1972245773362196,0
0.63,0.7419373447293773,-2.419118909249997,3.784189633918261,0.9953,3.47,0.55,2.341805806147327,1
0.885,0.5877866649021191,-2.8473122684357177,2.0794415416798357,0.9972,3.36,0.33,2.2082744135228043,0
0.42,0.6931471805599453,-2.617295837833746,2.8903717578961645,0.9972,3.29,0.61,2.2192034840549946,1
0.42,0.6931471805599453,-2.617295837833746,2.8903717578961645,0.9972,3.29,0.61,2.2192034840549946,1
0.62,0.6418538861723947,-2.6882475738060303,3.7376696182833684,0.9961,3.42,0.57,2.4423470353692043,1
0.38,0.6931471805599453,-2.5257286443082556,3.5553480614894135,0.9961,3.33,0.47,2.2512917986064953,0
0.5,0.4054651081081644,-2.4651040224918206,3.8918202981106265,0.9958,3.35,0.78,2.2512917986064953,0
0.38,0.6931471805599453,-2.5257286443082556,3.5553480614894135,0.9961,3.33,0.47,2.2512917986064953,0
0.52,0.8329091229351039,-2.4418471603275536,3.6375861597263857,0.9972,3.58,0.61,2.3513752571634776,1
0.805,0.9162907318741551,-2.6882475738060303,2.995732273553991,0.9969,3.48,0.56,2.2617630984737906,0
0.61,0.8754687373538999,-2.703062659591171,3.7376696182833684,0.9969,3.19,0.59,2.2512917986064953,0
0.61,0.8754687373538999,-2.703062659591171,3.7376696182833684,0.9969,3.19,0.59,2.2512917986064953,0
0.73,0.9162907318741551,-2.577021938695806,3.7376696182833684,0.9972,3.44,0.52,2.2300144001592104,0
0.61,0.5877866649021191,-2.563949857128453,4.174387269895637,0.9971,3.54,0.58,2.2300144001592104,0
0.62,0.6418538861723947,-2.5383074265151158,4.127134385045092,0.997,3.52,0.58,2.2300144001592104,1
0.31,0.6931471805599453,-2.198225077669803,4.442651256490317,0.9971,3.26,0.53,2.272125885509337,0
0.39,0.6931471805599453,-2.5010360317178852,4.204692619390966,0.9972,3.34,0.55,2.2192034840549946,0
0.705,0.9555114450274363,-2.4769384801388235,3.258096538021482,0.9976,3.39,0.49,2.272125885509337,0
0.5,0.6931471805599453,-2.4769384801388235,4.962844630259907,0.9968,3.2,0.55,2.2512917986064953,0
0.49,0.6418538861723947,-2.5010360317178852,4.969813299576001,0.9968,3.2,0.55,2.2512917986064953,0
0.5,1.0647107369924282,-2.563949857128453,4.844187086458591,0.9976,3.23,0.62,2.2407096892759584,0
0.37,0.6418538861723947,-2.6036901857779675,3.8918202981106265,0.9974,3.57,0.62,2.2823823856765264,1
0.63,1.33500106673234,-2.312635428847547,4.836281906951478,0.9969,3.28,0.61,2.2512917986064953,0
0.55,0.7884573603642703,-2.645075401940822,3.332204510175204,0.9964,3.28,0.55,2.272125885509337,0
0.55,0.7884573603642703,-2.645075401940822,3.332204510175204,0.9964,3.28,0.55,2.272125885509337,0
0.59,0.6931471805599453,-2.6036901857779675,4.787491742782046,0.9968,3.25,0.54,2.2407096892759584,0
0.58,0.8754687373538999,-2.6036901857779675,4.007333185232471,0.9968,3.46,0.59,2.322387720290225,0
0.3,0.6931471805599453,-2.703062659591171,3.295836866004329,0.9981,3.11,0.97,2.312535423847214,1
0.835,0.1823215567939546,-3.079113882493042,4.532599493153256,0.9924,3.57,0.85,2.5649493574615367,1
0.32,0.3364722366212129,-2.8824035882469876,3.1780538303479458,0.99695,3.22,0.82,2.33214389523559,1
0.37,0.7419373447293773,-2.333044300478754,4.976733742420574,0.9975,3.04,1.03,2.2300144001592104,0
0.5,0.4054651081081644,-2.5902671654458267,3.8918202981106265,0.99545,3.36,0.79,2.2512917986064953,0
0.42,0.47000362924573563,-2.430418464503931,3.6635616461296463,0.9961,3.34,0.55,2.2192034840549946,0
0.43,0.47000362924573563,-2.419118909249997,3.6109179126442243,0.99615,3.34,0.56,2.2192034840549946,1
0.3,0.9555114450274363,-2.353878387381596,3.332204510175204,0.9994,3.2,0.77,2.379546134130174,1
0.3,0.9555114450274363,-2.353878387381596,3.332204510175204,0.9994,3.2,0.77,2.379546134130174,1
0.57,0.5877866649021191,-2.6736487743848776,4.787491742782046,0.99625,3.29,0.53,2.2300144001592104,0
0.44,0.9932517730102834,-2.3025850929940455,4.553876891600541,0.9966,3.22,0.67,2.2407096892759584,0
0.3,0.7419373447293773,-2.9187712324178627,2.9444389791664403,0.998,3.31,0.88,2.3513752571634776,1
0.53,0.6931471805599453,-3.2441936328524905,2.9444389791664403,0.99585,3.3,0.86,2.517696472610991,1
0.725,1.0296194171811581,-2.488914671185539,4.127134385045092,0.99685,3.35,0.56,2.302585092994046,1
0.44,0.7419373447293773,-2.8302178350764176,2.70805020110221,0.998,3.21,0.67,2.322387720290225,1
0.57,0.7884573603642703,-2.8134107167600364,4.174387269895637,0.9959,3.3,0.43,2.312535423847214,0
0.735,0.8754687373538999,-2.385966701933097,3.713572066704308,0.9974,3.24,0.71,2.2823823856765264,1
0.49,1.7227665977411035,-2.8134107167600364,4.795790545596741,0.9974,3.34,0.76,2.3513752571634776,0
0.625,0.6931471805599453,-2.2926347621408776,3.8918202981106265,0.9962,3.14,0.57,2.3978952727983707,0
0.725,0.7884573603642703,-2.631089159966082,3.713572066704308,0.9967,3.36,0.55,2.2082744135228043,0
0.49,0.6418538861723947,-2.577021938695806,3.784189633918261,0.9957,3.39,0.54,2.272125885509337,0
0.53,0.8754687373538999,-2.5257286443082556,4.969813299576001,0.99655,3.3,0.6,2.2512917986064953,0
0.34,0.6931471805599453,-2.5010360317178852,4.060443010546419,0.9964,3.34,0.59,2.2407096892759584,1
0.53,0.6931471805599453,-2.2926347621408776,4.276666119016055,0.9957,3.15,0.57,2.2407096892759584,0
0.61,0.4054651081081644,-2.864704011147587,2.302585092994046,0.99525,3.42,0.6,2.2512917986064953,0
0.645,0.6931471805599453,-2.488914671185539,3.332204510175204,0.99815,3.28,0.6,2.302585092994046,1
0.635,0.6931471805599453,-2.419118909249997,4.007333185232471,0.99745,3.31,0.57,2.341805806147327,0
0.43,0.9555114450274363,-2.617295837833746,4.143134726391533,0.99615,3.37,0.58,2.3513752571634776,1
0.82,0.9555114450274363,-2.419118909249997,3.1354942159291497,0.9984,3.39,0.63,2.2823823856765264,0
0.43,0.9555114450274363,-2.617295837833746,4.143134726391533,0.99615,3.37,0.58,2.3513752571634776,1
0.52,0.9555114450274363,-2.513306124309698,3.6109179126442243,0.99685,3.46,0.5,2.3978952727983707,0
0.48,0.47000362924573563,-2.9187712324178627,4.663439094112067,0.9927,3.54,0.62,2.501435951739211,1
0.38,0.5877866649021191,-2.551046452292545,3.8918202981106265,0.99625,3.37,0.52,2.2925347571405443,1
0.37,1.0296194171811581,-2.4079456086518722,4.060443010546419,0.998,3.34,0.7,2.2617630984737906,1
0.52,0.9555114450274363,-2.513306124309698,3.6109179126442243,0.99685,3.46,0.5,2.3978952727983707,0
1.0,0.8329091229351039,-2.7333680090865,3.6109179126442243,0.99685,3.32,0.55,2.1972245773362196,1
0.63,0.6418538861723947,-2.333044300478754,3.6375861597263857,0.99675,3.37,0.58,2.1972245773362196,1
0.63,0.6418538861723947,-2.333044300478754,3.6375861597263857,0.99675,3.37,0.58,2.1972245773362196,1
0.645,0.6418538861723947,-2.333044300478754,3.6635616461296463,0.99675,3.37,0.58,2.2192034840549946,1
0.63,0.6418538861723947,-2.333044300478754,3.6375861597263857,0.99675,3.37,0.58,2.1972245773362196,1
1.0,0.8329091229351039,-2.7333680090865,3.6109179126442243,0.99685,3.32,0.55,2.1972245773362196,1
0.38,0.7419373447293773,-2.375155785828881,3.1780538303479458,0.99925,3.14,0.71,2.388762789235098,1
0.58,0.5877866649021191,-2.282782465697866,4.6913478822291435,0.99565,3.08,0.49,2.2823823856765264,1
0.21,0.7884573603642703,-2.5902671654458267,3.1780538303479458,1.00005,3.07,0.84,2.2192034840549946,1
0.21,0.7884573603642703,-2.5902671654458267,3.1780538303479458,1.00005,3.07,0.84,2.2192034840549946,1
0.66,0.6931471805599453,-2.4769384801388235,3.1354942159291497,0.9983,3.61,0.96,2.2925347571405443,1
0.68,0.6418538861723947,-2.5902671654458267,3.9318256327243257,0.99685,3.38,0.52,2.2512917986064953,0
0.6,0.8329091229351039,-2.631089159966082,4.290459441148391,0.9963,3.2,0.45,2.2300144001592104,0
0.53,0.5306282510621704,-2.6036901857779675,3.6635616461296463,0.99615,3.35,0.48,2.2823823856765264,1
0.66,0.6931471805599453,-2.4769384801388235,3.1354942159291497,0.9983,3.61,0.96,2.2925347571405443,1
0.32,0.47000362924573563,-2.7646205525906042,3.6109179126442243,0.9985,3.22,0.78,2.302585092994046,1
0.6,0.5877866649021191,-2.6036901857779675,3.5263605246161616,0.9972,3.47,0.7,2.2925347571405443,1
0.35,1.1314021114911006,-2.4079456086518722,3.044522437723423,0.9986,3.17,0.53,2.3513752571634776,0
0.775,0.6418538861723947,-2.385966701933097,4.454347296253507,0.9959,3.23,0.59,2.2512917986064953,0
0.6,0.5877866649021191,-2.6036901857779675,3.5263605246161616,0.9972,3.47,0.7,2.2925347571405443,1
0.57,1.1631508098056809,-2.617295837833746,4.77912349311153,0.99675,3.26,0.57,2.2300144001592104,0
0.34,0.7884573603642703,-2.5902671654458267,2.5649493574615367,0.998,3.22,0.62,2.2192034840549946,0
0.695,0.7419373447293773,-2.5902671654458267,4.02535169073515,0.9968,3.49,0.67,2.2192034840549946,0
0.31,0.9555114450274363,-2.4651040224918206,3.4965075614664802,0.99965,3.36,0.8,2.3513752571634776,1
0.33,0.5306282510621704,-2.563949857128453,3.8066624897703196,0.99625,3.29,0.65,2.2300144001592104,0
0.975,0.6931471805599453,-2.4418471603275536,4.204692619390966,0.99565,3.35,0.6,2.2407096892759584,0
0.52,0.5306282510621704,-2.659260036932778,3.5553480614894135,0.99575,3.34,0.57,2.302585092994046,0
0.37,0.5877866649021191,-2.563949857128453,3.8918202981106265,0.9963,3.28,0.67,2.2300144001592104,0
0.56,0.8754687373538999,-2.7488721956224653,3.295836866004329,0.9999,3.08,0.87,2.388762789235098,0
0.26,0.5877866649021191,-2.645075401940822,2.302585092994046,0.9968,3.2,0.72,2.322387720290225,1
0.87,1.1939224684724346,-2.3434070875143007,4.110873864173311,1.00025,3.6,0.72,2.2823823856765264,0
0.35,1.2809338454620642,-2.551046452292545,3.6109179126442243,0.9973,3.35,0.86,2.5494451709255714,1
0.54,1.0986122886681098,-2.563949857128453,3.295836866004329,0.9987,3.69,0.91,2.2407096892759584,1
0.18,1.3862943611198906,-2.2633643798407643,3.1354942159291497,0.9996,3.28,0.97,2.312535423847214,1
0.545,1.3862943611198906,-2.4418471603275536,4.110873864173311,0.9965,3.36,0.67,2.3702437414678603,1
0.18,1.3862943611198906,-2.2633643798407643,3.1354942159291497,0.9996,3.28,0.97,2.312535423847214,1
0.37,1.3862943611198906,-2.645075401940822,4.174387269895637,0.99935,3.22,0.78,2.312535423847214,0
0.715,0.8754687373538999,-2.577021938695806,3.6375861597263857,0.99735,3.31,0.64,2.2407096892759584,0
0.545,1.3862943611198906,-2.4418471603275536,4.110873864173311,0.9965,3.36,0.67,2.3702437414678603,1
0.54,1.0986122886681098,-2.563949857128453,3.295836866004329,0.9987,3.69,0.91,2.2407096892759584,1
0.18,1.3862943611198906,-2.2633643798407643,3.1354942159291497,0.9996,3.28,0.97,2.312535423847214,1
0.32,1.8562979903656263,-2.617295837833746,2.5649493574615367,0.9976,3.23,0.82,2.533696813957432,1
0.4,1.7227665977411035,-2.4418471603275536,3.8501476017100584,0.9991,3.38,0.77,2.3513752571634776,1
0.26,1.2809338454620642,-2.645075401940822,2.9444389791664403,0.9986,3.12,0.82,2.2300144001592104,1
0.52,1.0986122886681098,-2.703062659591171,3.970291913552122,0.9971,3.36,0.57,2.2082744135228043,0
0.4,1.7227665977411035,-2.4418471603275536,3.8501476017100584,0.9991,3.38,0.77,2.3513752571634776,1
0.59,1.2237754316221157,-2.282782465697866,4.2626798770413155,1.00015,3.31,0.71,2.2823823856765264,0
0.59,1.2237754316221157,-2.282782465697866,4.2626798770413155,1.00015,3.31,0.71,2.2823823856765264,0
0.45,0.6931471805599453,-2.617295837833746,3.8918202981106265,0.9997,3.1,0.76,2.33214389523559,1
0.4,1.0986122886681098,-2.385966701933097,3.970291913552122,0.9967,3.37,0.7,2.33214389523559,1
0.52,0.9162907318741551,-2.396895772465287,3.8918202981106265,0.9976,3.34,0.86,2.3608540011180215,1
