id,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,like,d_like,met,decision,decision_o,match,field_encoded
11,0,1,female,24,27,3,small age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,35,20,20,20,0,5,very important,important,important,important,not important,not important,8,7,6,9,7,4,average,average,average,high,average,low,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,5,7,8,4,6,3,low,average,average,low,average,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0-0.33],6,average,0,0,0,0,48
12,0,1,female,24,22,2,small age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,60,0,0,40,0,0,very important,not important,not important,very important,not important,not important,7,6,10,6,6,5,average,average,high,average,average,low,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,8,5,6,6,9,6,average,low,average,average,high,average,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0-0.33],7,average,0,0,0,0,48
13,0,1,female,24,22,2,small age difference,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,2,5,important,important,LAW,19,18,19,18,14,12,important,important,important,important,not important,not important,10,10,10,10,10,10,high,high,high,high,high,high,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,5,8,9,6,3,4,low,average,high,average,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0-0.33],6,average,0,0,1,0,48
14,0,1,female,24,23,1,no age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,30,5,15,40,5,5,very important,not important,not important,very important,not important,not important,9,9,9,9,9,9,high,high,high,high,high,high,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,7,9,7,6,5,7,average,high,average,average,low,average,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[-1-0],7,average,0,1,1,1,48
15,0,1,female,24,24,0,no age difference,European/Caucasian-American,Latino/Hispanic American,0,2,5,important,important,LAW,30,10,20,10,10,20,very important,not important,important,not important,not important,important,10,10,10,10,7,8,high,high,high,high,average,average,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,6,8,7,9,7,8,average,average,average,high,average,average,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0-0.33],8,average,1,0,1,0,48
16,0,1,female,24,25,1,no age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,50,0,30,10,0,10,very important,not important,very important,not important,not important,not important,7,8,7,5,7,7,average,average,average,low,average,average,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,8,7,8,3,6,2,average,average,average,low,average,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,1,[0.33-1],6,average,0,0,1,0,48
17,0,1,female,24,30,6,medium age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,35,15,25,10,5,10,very important,not important,very important,not important,not important,not important,5,3,4,3,5,3,low,low,low,low,low,low,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,7,5,9,6,7,9,average,low,high,average,average,high,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,1,[0.33-1],8,average,0,1,0,0,48
18,0,1,female,24,27,3,small age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,33,11,11,11,11,22,very important,not important,not important,not important,not important,very important,7,7,7,7,7,5,average,average,average,average,average,low,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,5,8,7,5,9,5,low,average,average,low,high,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0-0.33],5,low,0,0,1,0,48
19,0,1,female,24,28,4,medium age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,50,0,25,10,0,15,very important,not important,very important,not important,not important,not important,8,6,9,9,8,7,average,average,high,high,average,average,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,7,6,8,9,4,5,average,average,average,high,low,low,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0-0.33],5,low,0,1,1,1,48
20,0,1,female,24,24,0,no age difference,European/Caucasian-American,European/Caucasian-American,1,2,5,important,important,LAW,100,0,0,0,0,0,very important,not important,not important,not important,not important,not important,6,5,7,7,9,7,average,low,average,average,high,average,45,5,25,20,0,5,very important,not important,very important,important,not important,not important,7,5,10,8,3,average,low,high,average,low,6,7,8,7,9,8,average,average,average,average,high,average,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,low,low,average,high,average,average,low,low,average,high,low,high,average,average,average,low,low,0,[0.33-1],8,average,0,1,0,0,48
21,1,1,female,25,27,2,small age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,35,20,20,20,0,5,very important,important,important,important,not important,not important,7,8,6,5,8,4,average,average,average,low,average,low,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,7,9,10,7,8,9,average,high,high,average,average,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],8,average,1,0,0,0,7
22,1,1,female,25,22,3,small age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,60,0,0,40,0,0,very important,not important,not important,very important,not important,not important,6,7,10,6,6,5,average,average,high,average,average,low,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,9,7,9,8,9,7,high,average,high,average,high,average,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],8,average,0,0,0,0,7
23,1,1,female,25,22,3,small age difference,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,19,18,19,18,14,12,important,important,important,important,not important,not important,10,10,10,10,10,10,high,high,high,high,high,high,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,7,9,9,7,9,7,average,high,high,average,high,average,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[0-0.33],8,average,0,0,1,0,7
24,1,1,female,25,23,2,small age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,30,5,15,40,5,5,very important,not important,not important,very important,not important,not important,7,9,8,8,8,8,average,high,average,average,average,average,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,9,7,9,7,9,7,high,average,high,average,high,average,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],8,average,0,0,1,0,7
26,1,1,female,25,25,0,no age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,50,0,30,10,0,10,very important,not important,very important,not important,not important,not important,7,6,6,6,6,6,average,average,average,average,average,average,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,8,10,10,7,9,9,average,high,high,average,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],8,average,0,0,1,0,7
27,1,1,female,25,30,5,medium age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,35,15,25,10,5,10,very important,not important,very important,not important,not important,not important,6,3,5,4,5,4,average,low,low,low,low,low,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,8,9,10,7,7,9,average,high,high,average,average,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],8,average,0,0,0,0,7
28,1,1,female,25,27,2,small age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,33,11,11,11,11,22,very important,not important,not important,not important,not important,very important,4,5,6,4,6,4,low,low,average,low,average,low,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,7,9,9,8,9,7,average,high,high,average,high,average,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[0-0.33],8,average,0,0,0,0,7
29,1,1,female,25,28,3,small age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,50,0,25,10,0,15,very important,not important,very important,not important,not important,not important,7,7,6,8,7,7,average,average,average,average,average,average,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,9,9,9,9,9,9,high,high,high,high,high,high,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],9,high,0,0,1,0,7
30,1,1,female,25,24,1,no age difference,European/Caucasian-American,European/Caucasian-American,1,8,4,very important,important,BUSINESS/ECONOMICS/FINANCE,100,0,0,0,0,0,very important,not important,not important,not important,not important,not important,5,6,8,5,8,6,low,average,average,low,average,average,35,10,35,10,10,0,very important,not important,very important,not important,not important,not important,8,9,8,9,8,average,high,average,high,average,8,7,9,7,9,7,average,average,high,average,high,average,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,low,average,average,average,low,low,average,low,low,average,average,average,average,average,low,average,average,0,[-1-0],8,average,0,0,0,0,7
31,0,1,female,23,27,4,medium age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,35,20,20,20,0,5,very important,important,important,important,not important,not important,6,7,8,7,7,5,average,average,average,average,average,low,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,4,10,8,5,8,7,low,high,average,low,average,average,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[-1-0],6,average,0,0,0,0,48
32,0,1,female,23,22,1,no age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,60,0,0,40,0,0,very important,not important,not important,very important,not important,not important,6,5,10,6,6,5,average,low,high,average,average,low,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,8,7,8,10,7,8,average,average,average,high,average,average,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[-1-0],8,average,1,0,0,0,48
33,0,1,female,23,22,1,no age difference,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,1,1,not important,not important,LAW,19,18,19,18,14,12,important,important,important,important,not important,not important,10,10,10,10,10,10,high,high,high,high,high,high,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,4,7,8,8,6,7,low,average,average,average,average,average,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[0-0.33],4,low,0,0,1,0,48
34,0,1,female,23,23,0,no age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,30,5,15,40,5,5,very important,not important,not important,very important,not important,not important,7,7,7,9,9,9,average,average,average,high,high,high,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,8,10,7,10,7,10,average,high,average,high,average,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[-1-0],8,average,1,1,1,1,48
35,0,1,female,23,24,1,no age difference,European/Caucasian-American,Latino/Hispanic American,0,1,1,not important,not important,LAW,30,10,20,10,10,20,very important,not important,important,not important,not important,important,8,8,9,8,8,9,average,average,high,average,average,high,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,6,9,8,9,8,9,average,high,average,high,average,high,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[0-0.33],7,average,0,0,1,0,48
36,0,1,female,23,25,2,small age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,50,0,30,10,0,10,very important,not important,very important,not important,not important,not important,6,6,7,7,8,7,average,average,average,average,average,average,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,5,10,8,4,8,2,low,high,average,low,average,low,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[0.33-1],4,low,0,0,1,0,48
37,0,1,female,23,30,7,large age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,35,15,25,10,5,10,very important,not important,very important,not important,not important,not important,7,6,3,5,6,5,average,average,low,low,average,low,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,7,10,10,7,10,5,average,high,high,average,high,low,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[0.33-1],5,low,0,0,1,0,48
38,0,1,female,23,27,4,medium age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,33,11,11,11,11,22,very important,not important,not important,not important,not important,very important,6,7,8,6,6,5,average,average,average,average,average,low,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,5,9,9,5,9,7,low,high,high,low,high,average,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[0-0.33],6,average,0,0,0,0,48
39,0,1,female,23,28,5,medium age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,50,0,25,10,0,15,very important,not important,very important,not important,not important,not important,7,7,7,10,9,10,average,average,average,high,high,high,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,9,8,10,10,7,8,high,average,high,high,average,average,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[-1-0],8,average,0,1,1,1,48
40,0,1,female,23,24,1,no age difference,European/Caucasian-American,European/Caucasian-American,1,1,1,not important,not important,LAW,100,0,0,0,0,0,very important,not important,not important,not important,not important,not important,7,8,8,7,8,7,average,average,average,average,average,average,20,20,20,20,10,10,important,important,important,important,not important,not important,7,8,9,7,8,average,average,high,average,average,8,9,10,10,8,8,average,high,high,high,average,average,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,low,low,average,average,average,average,average,low,average,average,average,high,average,average,average,low,average,0,[-1-0],10,high,0,1,0,0,48
41,1,1,female,21,27,6,medium age difference,European/Caucasian-American,European/Caucasian-American,1,8,1,very important,not important,LAW,35,20,20,20,0,5,very important,important,important,important,not important,not important,6,8,8,8,7,6,average,average,average,average,average,average,20,5,25,25,10,15,important,not important,very important,very important,not important,not important,6,3,6,10,8,average,low,average,high,average,5,8,8,2,2,2,low,average,average,low,low,low,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,average,low,average,average,average,average,average,average,average,average,average,average,average,low,average,average,low,0,[-1-0],7,average,0,0,0,0,48
42,1,1,female,21,22,1,no age difference,European/Caucasian-American,European/Caucasian-American,1,8,1,very important,not important,LAW,60,0,0,40,0,0,very important,not important,not important,very important,not important,not important,6,7,10,7,6,5,average,average,high,average,average,low,20,5,25,25,10,15,important,not important,very important,very important,not important,not important,6,3,6,10,8,average,low,average,high,average,8,6,6,5,5,5,average,average,average,low,low,low,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,average,low,average,average,average,average,average,average,average,average,average,average,average,low,average,average,low,0,[-1-0],6,average,1,0,0,0,48
43,1,1,female,21,22,1,no age difference,European/Caucasian-American,Asian/Pacific Islander/Asian-American,0,8,1,very important,not important,LAW,19,18,19,18,14,12,important,important,important,important,not important,not important,10,10,10,10,10,10,high,high,high,high,high,high,20,5,25,25,10,15,important,not important,very important,very important,not important,not important,6,3,6,10,8,average,low,average,high,average,4,6,8,8,6,5,low,average,average,average,average,low,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,average,low,average,average,average,average,average,average,average,average,average,average,average,low,average,average,low,0,[-1-0],6,average,1,0,1,0,48
44,1,1,female,21,23,2,small age difference,European/Caucasian-American,European/Caucasian-American,1,8,1,very important,not important,LAW,30,5,15,40,5,5,very important,not important,not important,very important,not important,not important,6,8,6,8,10,10,average,average,average,average,high,high,20,5,25,25,10,15,important,not important,very important,very important,not important,not important,6,3,6,10,8,average,low,average,high,average,8,5,5,7,7,9,average,low,low,average,average,high,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,average,low,average,average,average,average,average,average,average,average,average,average,average,low,average,average,low,0,[0-0.33],8,average,1,1,1,1,48
45,1,1,female,21,24,3,small age difference,European/Caucasian-American,Latino/Hispanic American,0,8,1,very important,not important,LAW,30,10,20,10,10,20,very important,not important,important,not important,not important,important,5,9,9,7,9,5,low,high,high,average,high,low,20,5,25,25,10,15,important,not important,very important,very important,not important,not important,6,3,6,10,8,average,low,average,high,average,6,7,7,5,4,8,average,average,average,low,low,average,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,average,low,average,average,average,average,average,average,average,average,average,average,average,low,average,average,low,0,[-1-0],7,average,0,0,0,0,48
46,1,1,female,21,25,4,medium age difference,European/Caucasian-American,European/Caucasian-American,1,8,1,very important,not important,LAW,50,0,30,10,0,10,very important,not important,very important,not important,not important,not important,5,8,7,7,7,7,low,average,average,average,average,average,20,5,25,25,10,15,important,not important,very important,very important,not important,not important,6,3,6,10,8,average,low,average,high,average,5,6,7,5,7,8,low,average,average,low,average,average,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,average,low,average,average,average,average,average,average,average,average,average,average,average,low,average,average,low,0,[0-0.33],7,average,0,1,0,0,48
