,id,has_null,wave,age,age_o,d_age,race_o,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,like,met,decision,decision_o,match,gender_female,gender_male,race_Asian/Pacific Islander/Asian-American,race_Black/African American,race_European/Caucasian-American,race_Latino/Hispanic American,race_Other,field_ACTING,field_AMERICAN STUDIES,field_ANTHROPOLOGY,field_APPLIED PHYSIOLOGY & NUTRITION,field_ARCHITECTURE,field_ART,field_BIOLOGY,field_BUSINESS/ECONOMICS/FINANCE,field_CHEMISTRY,field_CLASSICS,field_COMMUNICATIONS,field_COMPARATIVE LITERATURE,field_COMPUTER SCIENCE,field_CONSULTING,field_CURRICULUM AND TEACHING/GIFTEDNESS,field_EART,field_ECOLOGY,field_EDUCATION,field_ELECTRICAL ENGG.,field_ELECTRICAL ENGINEERING,field_ENGINEERING,field_ENVIRONMENTAL SCIENCE,field_EPIDEMIOLOGY,field_FILM,field_FINANACE,field_FINANCIAL ENGINEERING,field_FUNDRAISING MANAGEMENT,field_GENETICS,field_GENETICS & DEVELOPMENT,field_GS POSTBACC PREMED,field_GSAS,field_HISTORY,field_HUMAN RIGHTS,field_HUMAN RIGHTS: MIDDLE EAST,field_INDUSTRIAL ENGINEERING,field_INSTRUCTIONAL MEDIA AND TECHNOLOGY,field_INSTRUCTIONAL TECH & MEDIA,field_INTELLECTUAL PROPERTY LAW,field_INTERNATIONAL AFFAIRS,field_INTERNATIONAL DEVELOPMENT,field_INTERNATIONAL POLITICS,field_INTERNATIONAL RELATIONS,field_INTERNATIONAL SECURITY POLICY - INTERNATIONAL AFFAIRS,field_INTRERNATIONAL AFFAIRS,field_JOURNALISM,field_LANGUAGES,field_LAW,field_MA IN QUANTITATIVE METHODS,field_MARINE GEOPHYSICS,field_MARKETING,field_MASTER IN PUBLIC ADMINISTRATION,field_MASTERS IN PUBLIC ADMINISTRATION,field_MATHEMATICS,field_MECHANICAL ENGINEERING,field_MEDICAL INFORMATICS,field_MEDICINE,field_MFA  POETRY,field_MFA -FILM,field_MFA ACTING PROGRAM,field_MONEY,field_NEUROSCIENCE,field_NUTRITION,field_NUTRITION/GENETICS,field_NUTRITIRON,field_OPERATIONS RESEARCH,field_PHILOSOPHY,field_PHYSICS,field_POLITICAL SCIENCE,field_PSYCHOLOGY,field_PUBLIC ADMINISTRATION,field_PUBLIC HEALTH,field_PUBLIC POLICY,field_QMSS,field_RELIGION,field_SOCIOLOGY/SOCIAL STUDIES,field_SPEECH PATHOLOGY,field_TC [HEALTH ED],field_TESOL,field_THEATER,field_UNDERGRAD - GS,field_URBAN PLANNING,field_WORKING,field_WRITING
17,18,0,1,24,27,3,European/Caucasian-American,1,2,5,33,11,11,11,11,7,7,7,7,7,45,5,25,20,0,7,5,10,8,3,5,8,7,5,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,0,1,24,28,4,European/Caucasian-American,1,2,5,50,0,25,10,0,8,6,9,9,8,45,5,25,20,0,7,5,10,8,3,7,6,8,9,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,0,1,24,24,0,European/Caucasian-American,1,2,5,100,0,0,0,0,6,5,7,7,9,45,5,25,20,0,7,5,10,8,3,6,7,8,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,1,1,25,27,2,European/Caucasian-American,1,8,4,35,20,20,20,0,7,8,6,5,8,35,10,35,10,10,8,9,8,9,8,7,9,10,7,8,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,1,1,25,22,3,European/Caucasian-American,1,8,4,60,0,0,40,0,6,7,10,6,6,35,10,35,10,10,8,9,8,9,8,9,7,9,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,1,1,25,22,3,Asian/Pacific Islander/Asian-American,0,8,4,19,18,19,18,14,10,10,10,10,10,35,10,35,10,10,8,9,8,9,8,7,9,9,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,1,1,25,23,2,European/Caucasian-American,1,8,4,30,5,15,40,5,7,9,8,8,8,35,10,35,10,10,8,9,8,9,8,9,7,9,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,1,1,25,25,0,European/Caucasian-American,1,8,4,50,0,30,10,0,7,6,6,6,6,35,10,35,10,10,8,9,8,9,8,8,10,10,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,1,1,25,30,5,European/Caucasian-American,1,8,4,35,15,25,10,5,6,3,5,4,5,35,10,35,10,10,8,9,8,9,8,8,9,10,7,7,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,1,1,25,27,2,European/Caucasian-American,1,8,4,33,11,11,11,11,4,5,6,4,6,35,10,35,10,10,8,9,8,9,8,7,9,9,8,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,29,1,1,25,28,3,European/Caucasian-American,1,8,4,50,0,25,10,0,7,7,6,8,7,35,10,35,10,10,8,9,8,9,8,9,9,9,9,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30,1,1,25,24,1,European/Caucasian-American,1,8,4,100,0,0,0,0,5,6,8,5,8,35,10,35,10,10,8,9,8,9,8,8,7,9,7,9,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,31,0,1,23,27,4,European/Caucasian-American,1,1,1,35,20,20,20,0,6,7,8,7,7,20,20,20,20,10,7,8,9,7,8,4,10,8,5,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,32,0,1,23,22,1,European/Caucasian-American,1,1,1,60,0,0,40,0,6,5,10,6,6,20,20,20,20,10,7,8,9,7,8,8,7,8,10,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,33,0,1,23,22,1,Asian/Pacific Islander/Asian-American,0,1,1,19,18,19,18,14,10,10,10,10,10,20,20,20,20,10,7,8,9,7,8,4,7,8,8,6,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,34,0,1,23,23,0,European/Caucasian-American,1,1,1,30,5,15,40,5,7,7,7,9,9,20,20,20,20,10,7,8,9,7,8,8,10,7,10,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0,8,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,35,0,1,23,24,1,Latino/Hispanic American,0,1,1,30,10,20,10,10,8,8,9,8,8,20,20,20,20,10,7,8,9,7,8,6,9,8,9,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,36,0,1,23,25,2,European/Caucasian-American,1,1,1,50,0,30,10,0,6,6,7,7,8,20,20,20,20,10,7,8,9,7,8,5,10,8,4,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
